acreage,participant by year,participant overall,latitude,longitude
0.00459137,2023-13,2023-240,35.0948887000,-106.5773963000
0.01147842,2023-14,2023-241,35.1128273000,-106.6803461000
0.11478421,2023-15,2023-242,35.1245143000,-106.5050435000
0.25252525,2023-16,2023-243,35.1650581000,-106.5131327000
0.03443526,2023-17,2023-244,35.1565290000,-106.3282988000
0.25252525,2023-18,2023-245,35.1517740000,-106.5577989000
2,2023-19,2023-246,35.1057189000,-106.4941660000
1,2023-20,2023-247,35.0994906000,-106.5907925000
0.03443526,2023-21,2023-248,35.1357883000,-106.6643811000
0.01147842,2023-22,2023-249,35.1587109000,-106.6530281000
0.50505051,2023-23,2023-250,35.1982829000,-106.6382907000
0.25252525,2023-24,2023-251,35.0646858000,-106.6016588000
0.50505051,2023-25,2023-252,35.0689276000,-106.5970544000
0.5,2023-26,2023-253,35.1186550000,-106.6750080000
0.0573921,2023-27,2023-254,35.1762100000,-106.6944930000
0.00459137,2023-28,2023-255,35.1663300000,-106.6406110000
0.02295684,2023-29,2023-256,35.1418200000,-106.6465580000
0.50505051,2023-30,2023-257,35.1336080000,-106.5394640000
0.0573921,2023-31,2023-258,35.1118650000,-106.5940080000
0.11478421,2023-32,2023-259,35.8839700000,-106.3281910000
0.0573921,2023-33,2023-260,35.2358560000,-106.6523040000
0.02295684,2023-34,2023-261,35.0098459000,-106.6713821000
0.00459137,2023-35,2023-262,35.0880083000,-106.5380802000
0.01147842,2023-36,2023-263,35.1908807000,-106.6070462000
0.02295684,2023-37,2023-264,35.0968438000,-106.6186040000
0.50505051,2023-38,2023-265,35.1864855000,-106.5684170000
0.03443526,2023-39,2023-266,35.0733994000,-106.6143676000
0.02295684,2023-40,2023-267,35.0603091000,-106.5423612000
0.0573921,2023-41,2023-268,35.0733546000,-106.6009205000
0.03443526,2023-42,2023-269,35.0908354000,-106.6592687000
0.0573921,2023-43,2023-270,35.0641602000,-106.5776719000
0.0573921,2023-44,2023-271,35.0699847000,-106.4930664000
0.11478421,2023-45,2023-272,35.0710362000,-106.6180975000
0.0573921,2023-46,2023-273,35.0666887000,-106.6113332000
0.0573921,2023-47,2023-274,35.1026021000,-106.4955056000
0.00459137,2023-48,2023-275,35.0860309000,-106.5983823000
0.11478421,2023-49,2023-276,35.0547737000,-106.5106966000
0.01147842,2023-50,2023-277,35.1354207000,-106.5731838000
0.25252525,2023-51,2023-278,35.1335321000,-106.6462810000
0.02295684,2023-52,2023-279,35.1617289000,-106.5884334000
0.02295684,2023-53,2023-280,34.9709483000,-106.6777760000
0.00459137,2023-54,2023-281,35.2164372000,-106.7003095000
1.6,2023-55,2023-282,35.0727023000,-106.6156656000
0.01147842,2023-56,2023-283,35.0451773000,-106.5131788000
0.03443526,2023-57,2023-284,35.1015187000,-106.6768131000
0.01147842,2023-58,2023-285,35.2149673000,-106.7272481000
0.50505051,2023-59,2023-286,35.1476511000,-106.6485146000
0.03443526,2023-60,2023-287,35.0839715000,-106.5021657000
0.25252525,2023-61,2023-288,35.0868350000,-106.5980740000
0.03443526,2023-62,2023-289,35.0940560000,-106.5789630000
0.00068871,2023-63,2023-290,35.0891380000,-106.5097290000
0.02295684,2023-64,2023-291,35.1879130000,-106.6291530000
0.0573921,2023-65,2023-292,35.2552500000,-106.5992680000
0.68870523,2023-66,2023-293,35.0236830000,-106.6854830000
1.01010101,2023-67,2023-294,35.1095010000,-106.6777010000
0.50505051,2023-68,2023-295,35.1722480000,-106.5386710000
0.17217631,2023-69,2023-296,35.1281020000,-106.4926550000
0.0573921,2023-70,2023-297,35.1480150000,-106.5159840000
0.25252525,2023-71,2023-298,35.1769090000,-106.6814740000
0.0573921,2023-72,2023-299,35.1142360000,-106.5450350000
0.0573921,2023-73,2023-300,35.1124810000,-106.6718470000
0.02295684,2023-74,2023-301,35.1248560000,-106.5808050000
0.0573921,2023-75,2023-302,35.0893480000,-106.6547420000
0.02295684,2023-76,2023-303,35.0985780000,-106.5926430000
0.03741965,2023-77,2023-304,35.0646520000,-106.5988770000
0.01147842,2023-78,2023-305,35.0944950000,-106.6743340000
0.11478421,2023-79,2023-306,35.1008960000,-106.5530920000
0.01147842,2023-80,2023-307,35.1361600000,-106.6592510000
0.01147842,2023-81,2023-308,35.2267440000,-106.6341270000
0.50505051,2023-82,2023-309,35.1710000000,-106.5484010000
0.98714417,2023-83,2023-310,35.0823970000,-106.5893690000
0.25252525,2023-84,2023-311,35.1074780000,-106.5554700000
0.11478421,2023-85,2023-312,35.0923990000,-106.6021230000
0.0573921,2023-86,2023-313,35.3166460000,-106.4805110000
0.17217631,2023-87,2023-314,35.1842580000,-106.4979700000
2,2023-88,2023-315,35.1465420000,-106.2516400000
2,2023-89,2023-316,35.1021340000,-106.5855930000
2,2023-90,2023-317,35.1475370000,-106.5166330000
0.01836547,2023-91,2023-318,35.1439140000,--106.526186
0.11478421,2023-92,2023-319,35.1186460000,-106.6008390000
0.11478421,2023-93,2023-320,35.3001500000,-106.5878500000
0.11478421,2023-94,2023-321,35.0921450000,-106.5800660000
0.11478421,2023-95,2023-322,35.0939620000,-106.5938120000
0.03443526,2023-96,2023-323,35.3145160000,-106.5946640000
0.25252525,2023-97,2023-324,35.0803430000,-106.5938810000
0.25252525,2023-98,2023-325,35.1155780000,-106.6581880000
0.25252525,2023-99,2023-326,35.1263750000,-106.6491410000
