siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
Harrison,18,2009,191.99,34.659664,-106.7421328,163.79,2.1,NULL,5.81,10.008,2009
Sandia,4,2009,493.11,34.648432,-106.7377022,145.56,85.32,NULL,NULL,10.486,2009
Diversion,7,2009,94.52,34.167032,-106.8899486,21.31,NULL,1.54,26.39,10.825,2009
Rt 66,14,2009,367.58,34.258342,-106.8831845,118.13,133.89,NULL,68.96,10.89,2009
AOP/Umbreit (Albuquerque Overbank Project),17,2009,290.99,35.145288,-106.6803699,99.47,15.43,NULL,NULL,11.358,2009
Savannah,12,2009,269.97,35.193151,-106.646915,159.21,4.05,6.35,3.03,11.479,2009
BioPark,15,2009,338.29,34.648634,-106.7391728,22.74,10.9,NULL,4,11.662,2009
Montano,11,2009,204.22,35.190568,-106.6491626,138.54,NULL,22.09,0.54,11.962,2009
San Jose,19,2009,429.01,34.660546,-106.7429525,60.94,79.19,NULL,147.81,12.25,2009
Los Lunas,23,2009,248.25,35.066889,-106.7202778,56.01,9.28,NULL,0.79,12.791,2009
VDO (Valle de Oro),20,2009,252.69,35.100641,-106.6914783,97.28,31.09,NULL,4.38,13.1,2009
Badger,5,2009,279.96,35.34284,-106.5458,264.17,NULL,1.17,NULL,13.192,2009
Bobcat,6,2009,346.4,35.142853,-106.6819814,32.61,44.98,NULL,12.07,13.512,2009
Bosque Farms,22,2009,341.1,35.197056,-106.6439494,187.43,3.85,NULL,NULL,13.645,2009
Alameda,10,2009,200.6,35.191958,-106.6441893,52.79,11.03,NULL,14.31,14.022,2009
Santa Ana,3,2009,525.77,34.812369,-106.714458,140.5,30.06,1.5,NULL,14.208,2009
NHCC (National Hispanic Cultural Center),16,2009,326.36,34.647162,-106.738482,38.73,7.97,NULL,3.12,14.75,2009
RGNC (Rio Grande Nature Center),13,2009,452.76,35.015056,-106.6736953,35.01,31.88,NULL,4.61,15.17,2009
Minnow,8,2009,294.95,35.068813,-106.6580575,159.21,1.9,NULL,NULL,15.458,2009
Ohkay Owingeh,1,2009,376.43,35.188051,-106.646919,175.45,3.32,164.22,1.19,15.52,2009
Reynolds Forest,24,2009,194.11,35.50989,-106.3896,9.1,NULL,14.12,NULL,18.245,2009
Calabacillas,9,2009,535.11,36.0618,-106.0761,44.64,2.57,43.37,NULL,NULL,2009
Reynolds Cleared,25,2009,471.96,34.637511,-106.7434661,152.47,NULL,NULL,NULL,NULL,2009
Reynolds Cleared,25,2009,239.58,34.637511,-106.7434661,174.16,3.99,NULL,17.52,NULL,2009
Rt 66,14,2010,534.96,34.258342,-106.8831845,11.87,151.37,0.01,88.66,11.795,2010
Harrison,18,2010,196.16,34.659664,-106.7421328,59.39,1.7,1.53,5.84,12.495,2010
